Compound,Negative,Neutral,Positive,Tweets Ago,Username
0.7227,0.0,0.79,0.21,1,@BBC
-0.1027,0.202,0.649,0.149,2,@BBC
0.4404,0.129,0.612,0.259,3,@BBC
0.0,0.0,1.0,0.0,4,@BBC
0.4939,0.0,0.819,0.181,5,@BBC
-0.5574,0.265,0.735,0.0,6,@BBC
0.0,0.0,1.0,0.0,7,@BBC
-0.4189,0.2,0.709,0.091,8,@BBC
0.0,0.0,1.0,0.0,9,@BBC
-0.4939,0.211,0.789,0.0,10,@BBC
-0.4588,0.231,0.769,0.0,11,@BBC
0.5095,0.098,0.679,0.222,12,@BBC
-0.128,0.154,0.711,0.134,13,@BBC
-0.4767,0.205,0.795,0.0,14,@BBC
0.7506,0.0,0.748,0.252,15,@BBC
0.2732,0.066,0.823,0.111,16,@BBC
0.7003,0.0,0.655,0.345,17,@BBC
-0.8074,0.356,0.644,0.0,18,@BBC
0.0,0.0,1.0,0.0,19,@BBC
0.0,0.0,1.0,0.0,20,@BBC
0.4404,0.084,0.749,0.167,21,@BBC
0.3612,0.0,0.902,0.098,22,@BBC
0.8625,0.065,0.578,0.357,23,@BBC
0.6124,0.0,0.828,0.172,24,@BBC
0.0,0.0,1.0,0.0,25,@BBC
-0.1027,0.072,0.928,0.0,26,@BBC
0.1779,0.126,0.673,0.202,27,@BBC
-0.2732,0.116,0.884,0.0,28,@BBC
0.8555,0.0,0.669,0.331,29,@BBC
0.743,0.0,0.674,0.326,30,@BBC
0.3818,0.22,0.478,0.303,31,@BBC
0.7414,0.0,0.77,0.23,32,@BBC
-0.6705,0.2,0.8,0.0,33,@BBC
0.5994,0.0,0.804,0.196,34,@BBC
0.5719,0.0,0.773,0.227,35,@BBC
0.0,0.0,1.0,0.0,36,@BBC
0.0,0.0,1.0,0.0,37,@BBC
-0.5209,0.218,0.684,0.097,38,@BBC
0.0,0.0,1.0,0.0,39,@BBC
-0.6124,0.25,0.654,0.096,40,@BBC
0.4215,0.0,0.714,0.286,41,@BBC
-0.4588,0.242,0.67,0.088,42,@BBC
0.0,0.0,1.0,0.0,43,@BBC
0.1531,0.0,0.89,0.11,44,@BBC
-0.25,0.357,0.429,0.214,45,@BBC
0.4404,0.0,0.813,0.187,46,@BBC
0.0,0.0,1.0,0.0,47,@BBC
0.1759,0.206,0.546,0.248,48,@BBC
0.0,0.0,1.0,0.0,49,@BBC
0.4939,0.0,0.789,0.211,50,@BBC
-0.2263,0.172,0.651,0.177,51,@BBC
-0.5994,0.231,0.769,0.0,52,@BBC
0.4939,0.0,0.819,0.181,53,@BBC
0.0,0.0,1.0,0.0,54,@BBC
0.5411,0.0,0.851,0.149,55,@BBC
0.4404,0.0,0.868,0.132,56,@BBC
0.0,0.0,1.0,0.0,57,@BBC
0.0,0.0,1.0,0.0,58,@BBC
0.7299,0.0,0.695,0.305,59,@BBC
0.2732,0.0,0.89,0.11,60,@BBC
-0.5574,0.247,0.753,0.0,61,@BBC
0.0,0.0,1.0,0.0,62,@BBC
-0.6124,0.185,0.815,0.0,63,@BBC
0.0,0.0,1.0,0.0,64,@BBC
0.0,0.0,1.0,0.0,65,@BBC
-0.802,0.427,0.573,0.0,66,@BBC
0.4019,0.0,0.847,0.153,67,@BBC
0.7096,0.0,0.766,0.234,68,@BBC
-0.2732,0.242,0.554,0.204,69,@BBC
0.5994,0.0,0.795,0.205,70,@BBC
0.0,0.0,1.0,0.0,71,@BBC
0.5719,0.0,0.829,0.171,72,@BBC
0.0,0.0,1.0,0.0,73,@BBC
0.6696,0.0,0.728,0.272,74,@BBC
-0.6705,0.231,0.769,0.0,75,@BBC
0.0,0.0,1.0,0.0,76,@BBC
-0.7964,0.321,0.679,0.0,77,@BBC
0.0,0.0,1.0,0.0,78,@BBC
-0.6486,0.202,0.798,0.0,79,@BBC
-0.128,0.081,0.919,0.0,80,@BBC
0.0,0.0,1.0,0.0,81,@BBC
0.7506,0.0,0.748,0.252,82,@BBC
0.0,0.0,1.0,0.0,83,@BBC
0.0,0.0,1.0,0.0,84,@BBC
0.0,0.0,1.0,0.0,85,@BBC
0.0,0.0,1.0,0.0,86,@BBC
0.7456,0.0,0.689,0.311,87,@BBC
0.128,0.137,0.705,0.159,88,@BBC
-0.5574,0.167,0.833,0.0,89,@BBC
0.7003,0.0,0.655,0.345,90,@BBC
0.3818,0.134,0.591,0.274,91,@BBC
-0.7351,0.237,0.763,0.0,92,@BBC
0.0,0.0,1.0,0.0,93,@BBC
0.7845,0.0,0.734,0.266,94,@BBC
-0.875,0.5,0.5,0.0,95,@BBC
-0.872,0.398,0.602,0.0,96,@BBC
0.4753,0.0,0.843,0.157,97,@BBC
0.6239,0.0,0.687,0.313,98,@BBC
0.0,0.0,1.0,0.0,99,@BBC
0.0,0.0,1.0,0.0,100,@BBC
0.0772,0.0,0.936,0.064,1,@CBS
0.5423,0.0,0.8,0.2,2,@CBS
-0.3612,0.179,0.821,0.0,3,@CBS
0.0,0.0,1.0,0.0,4,@CBS
-0.6808,0.189,0.811,0.0,5,@CBS
0.5023,0.0,0.787,0.213,6,@CBS
-0.3724,0.242,0.758,0.0,7,@CBS
0.3612,0.0,0.8,0.2,8,@CBS
0.6124,0.0,0.667,0.333,9,@CBS
0.7003,0.0,0.58,0.42,10,@CBS
0.3612,0.0,0.737,0.263,11,@CBS
0.4199,0.0,0.715,0.285,12,@CBS
0.0,0.0,1.0,0.0,13,@CBS
-0.3875,0.226,0.774,0.0,14,@CBS
0.0,0.0,1.0,0.0,15,@CBS
0.7906,0.0,0.682,0.318,16,@CBS
0.4939,0.0,0.849,0.151,17,@CBS
0.6956,0.0,0.69,0.31,18,@CBS
0.8858,0.0,0.646,0.354,19,@CBS
0.0,0.0,1.0,0.0,20,@CBS
0.1622,0.133,0.746,0.121,21,@CBS
0.0,0.0,1.0,0.0,22,@CBS
0.3182,0.0,0.881,0.119,23,@CBS
0.765,0.0,0.708,0.292,24,@CBS
0.0,0.0,1.0,0.0,25,@CBS
0.0,0.0,1.0,0.0,26,@CBS
0.296,0.0,0.864,0.136,27,@CBS
-0.2263,0.091,0.909,0.0,28,@CBS
0.6124,0.0,0.81,0.19,29,@CBS
0.0,0.0,1.0,0.0,30,@CBS
0.0,0.0,1.0,0.0,31,@CBS
0.0,0.0,1.0,0.0,32,@CBS
0.0,0.0,1.0,0.0,33,@CBS
0.0,0.0,1.0,0.0,34,@CBS
0.0,0.0,1.0,0.0,35,@CBS
0.0,0.0,1.0,0.0,36,@CBS
0.0,0.0,1.0,0.0,37,@CBS
-0.34,0.25,0.581,0.169,38,@CBS
0.0,0.0,1.0,0.0,39,@CBS
0.0,0.0,1.0,0.0,40,@CBS
0.1139,0.0,0.929,0.071,41,@CBS
0.6249,0.0,0.779,0.221,42,@CBS
0.0,0.0,1.0,0.0,43,@CBS
-0.2714,0.138,0.764,0.098,44,@CBS
-0.2263,0.091,0.909,0.0,45,@CBS
0.0,0.0,1.0,0.0,46,@CBS
0.7901,0.0,0.709,0.291,47,@CBS
0.0,0.0,1.0,0.0,48,@CBS
